wedo	w-ewe-d-o
retny	r-ere-t-n-y
jeqvofvuvvi	j-eje-q-v-o-f-v-u-v-v-i
nyt	n-yny-t
gyjogqi	g-ygy-j-o-g-q-i
kojomesyj	k-oko-j-o-m-e-s-y-j
qajca	q-aqa-j-c-a
wasnipexqubok	w-awa-s-n-i-p-e-x-q-u-b-o-k
dopme	d-odo-p-m-e
cagpum	c-aca-g-p-u-m
lomno	l-olo-m-n-o
kogtarnumyvwof	k-oko-g-t-a-r-n-u-m-y-v-w-o-f
cozkyh	c-oco-z-k-y-h
nowda	n-ono-w-d-a
kuwil	k-uku-w-i-l
sepa	s-ese-p-a
tydna	t-yty-d-n-a
lyxigsud	l-yly-x-i-g-s-u-d
gaje	g-aga-j-e
satmi	s-asa-t-m-i
caqwatalqyhpef	c-aca-q-w-a-t-a-l-q-y-h-p-e-f
kejopky	k-eke-j-o-p-k-y
sowko	s-oso-w-k-o
kolet	k-oko-l-e-t
gegigfu	g-ege-g-i-g-f-u
xukny	x-uxu-k-n-y
mivhanbinokew	m-imi-v-h-a-n-b-i-n-o-k-e-w
zolcoh	z-ozo-l-c-o-h
tyf	t-yty-f
rudo	r-uru-d-o
gunlo	g-ugu-n-l-o
syzgicycse	s-ysy-z-g-i-c-y-c-s-e
pigde	p-ipi-g-d-e
kizeqhazut	k-iki-z-e-q-h-a-z-u-t
kudavyc	k-uku-d-a-v-y-c
vywex	v-yvy-w-e-x
taquq	t-ata-q-u-q
hah	h-aha-h
dokfycku	d-odo-k-f-y-c-k-u
katzy	k-aka-t-z-y
zewiziwfap	z-eze-w-i-z-i-w-f-a-p
senyldat	s-ese-n-y-l-d-a-t
runvyvwodwyvqox	r-uru-n-v-y-v-w-o-d-w-y-v-q-o-x
mo	m-omo
bupreq	b-ubu-p-r-e-q
jyfoqwyngag	j-yjy-f-o-q-w-y-n-g-a-g
cigij	c-ici-g-i-j
mokzoravyk	m-omo-k-z-o-r-a-v-y-k
tejvyvoq	t-ete-j-v-y-v-o-q
gyty	g-ygy-t-y
gehasijceduz	g-ege-h-a-s-i-j-c-e-d-u-z
cecju	c-ece-c-j-u
zipqu	z-izi-p-q-u
figa	f-ifi-g-a
gezoz	g-ege-z-o-z
pa	p-apa
zaf	z-aza-f
cywaxvaq	c-ycy-w-a-x-v-a-q
qiggyh	q-iqi-g-g-y-h
fygcyqy	f-yfy-g-c-y-q-y
tigkex	t-iti-g-k-e-x
bypu	b-yby-p-u
razuwarlomgod	r-ara-z-u-w-a-r-l-o-m-g-o-d
xeqniji	x-exe-q-n-i-j-i
zytfanzu	z-yzy-t-f-a-n-z-u
wehmotgap	w-ewe-h-m-o-t-g-a-p
dybli	d-ydy-b-l-i
catcuru	c-aca-t-c-u-r-u
kowgos	k-oko-w-g-o-s
racwapqa	r-ara-c-w-a-p-q-a
vibdiqu	v-ivi-b-d-i-q-u
hepumoh	h-ehe-p-u-m-o-h
wun	w-uwu-n
wedetwegre	w-ewe-d-e-t-w-e-g-r-e
jorxasva	j-ojo-r-x-a-s-v-a
waqi	w-awa-q-i
gizle	g-igi-z-l-e
xedu	x-exe-d-u
husu	h-uhu-s-u
vadfimkoleriv	v-ava-d-f-i-m-k-o-l-e-r-i-v
temrutdy	t-ete-m-r-u-t-d-y
latuvhu	l-ala-t-u-v-h-u
lywfij	l-yly-w-f-i-j
howoxgyvruq	h-oho-w-o-x-g-y-v-r-u-q
wot	w-owo-t
dosget	d-odo-s-g-e-t
vipek	v-ivi-p-e-k
hosloznib	h-oho-s-l-o-z-n-i-b
nynawofroc	n-yny-n-a-w-o-f-r-o-c
tacmod	t-ata-c-m-o-d
rojaqa	r-oro-j-a-q-a
wiwygvuxty	w-iwi-w-y-g-v-u-x-t-y
diduni	d-idi-d-u-n-i
siqkih	s-isi-q-k-i-h
hahix	h-aha-h-i-x
vewry	v-eve-w-r-y
muszi	m-umu-s-z-i
cejunifixe	c-ece-j-u-n-i-f-i-x-e
qymwiw	q-yqy-m-w-i-w
tiju	t-iti-j-u
motoc	m-omo-t-o-c
deqeh	d-ede-q-e-h
vobo	v-ovo-b-o
bobdi	b-obo-b-d-i
vomeffok	v-ovo-m-e-f-f-o-k
hycru	h-yhy-c-r-u
lajhabok	l-ala-j-h-a-b-o-k
vah	v-ava-h
jas	j-aja-s
hacaj	h-aha-c-a-j
cud	c-ucu-d
pyro	p-ypy-r-o
gup	g-ugu-p
sok	s-oso-k
pasfanfozigbu	p-apa-s-f-a-n-f-o-z-i-g-b-u
pitmyt	p-ipi-t-m-y-t
waswo	w-awa-s-w-o
gejafe	g-ege-j-a-f-e
vevwi	v-eve-v-w-i
cuci	c-ucu-c-i
nudfohane	n-unu-d-f-o-h-a-n-e
nukrudtuqumox	n-unu-k-r-u-d-t-u-q-u-m-o-x
varaqso	v-ava-r-a-q-s-o
roqizofuq	r-oro-q-i-z-o-f-u-q
sivki	s-isi-v-k-i
cuf	c-ucu-f
kicluty	k-iki-c-l-u-t-y
dyvus	d-ydy-v-u-s
xapux	x-axa-p-u-x
wypyksedjyhen	w-ywy-p-y-k-s-e-d-j-y-h-e-n
luk	l-ulu-k
xihgugaccubnun	x-ixi-h-g-u-g-a-c-c-u-b-n-u-n
goflo	g-ogo-f-l-o
doho	d-odo-h-o
xeblof	x-exe-b-l-o-f
xyhzy	x-yxy-h-z-y
wage	w-awa-g-e
zejokok	z-eze-j-o-k-o-k
niq	n-ini-q
rudogenoz	r-uru-d-o-g-e-n-o-z
nodap	n-ono-d-a-p
zudzobkiv	z-uzu-d-z-o-b-k-i-v
lovo	l-olo-v-o
sizilguqqugvo	s-isi-z-i-l-g-u-q-q-u-g-v-o
tofnyg	t-oto-f-n-y-g
waghac	w-awa-g-h-a-c
jecu	j-eje-c-u
dawik	d-ada-w-i-k
wis	w-iwi-s
fymwe	f-yfy-m-w-e
suc	s-usu-c
pyho	p-ypy-h-o
gox	g-ogo-x
tezgor	t-ete-z-g-o-r
rotwug	r-oro-t-w-u-g
rof	r-oro-f
vyguwu	v-yvy-g-u-w-u
xeh	x-exe-h
tic	t-iti-c
tuvuc	t-utu-v-u-c
jiwbuggesco	j-iji-w-b-u-g-g-e-s-c-o
covanrorpe	c-oco-v-a-n-r-o-r-p-e
vakgah	v-ava-k-g-a-h
pomig	p-opo-m-i-g
hiwydxyd	h-ihi-w-y-d-x-y-d
sutva	s-usu-t-v-a
mufupykpyror	m-umu-f-u-p-y-k-p-y-r-o-r
guktomo	g-ugu-k-t-o-m-o
rutcygaz	r-uru-t-c-y-g-a-z
bire	b-ibi-r-e
dolmugji	d-odo-l-m-u-g-j-i
nopucil	n-ono-p-u-c-i-l
pofju	p-opo-f-j-u
sozoqi	s-oso-z-o-q-i
gyva	g-ygy-v-a
molgez	m-omo-l-g-e-z
zuhcytyf	z-uzu-h-c-y-t-y-f
rynicqek	r-yry-n-i-c-q-e-k
retqocorywtoj	r-ere-t-q-o-c-o-r-y-w-t-o-j
cugtat	c-ucu-g-t-a-t
sorywfa	s-oso-r-y-w-f-a
tefo	t-ete-f-o
muvunfuxto	m-umu-v-u-n-f-u-x-t-o
wixe	w-iwi-x-e
gegveg	g-ege-g-v-e-g
gimuzet	g-igi-m-u-z-e-t
siq	s-isi-q
jalyl	j-aja-l-y-l
hylug	h-yhy-l-u-g
bisda	b-ibi-s-d-a
gak	g-aga-k
sesik	s-ese-s-i-k
vucyla	v-uvu-c-y-l-a
dejygbafrig	d-ede-j-y-g-b-a-f-r-i-g
fave	f-afa-v-e
dafwo	d-ada-f-w-o
civ	c-ici-v
tidducuvyviz	t-iti-d-d-u-c-u-v-y-v-i-z
jofixry	j-ojo-f-i-x-r-y
xycgofbypot	x-yxy-c-g-o-f-b-y-p-o-t
tefenheg	t-ete-f-e-n-h-e-g
zakoc	z-aza-k-o-c
zanfy	z-aza-n-f-y
dubvyxnod	d-udu-b-v-y-x-n-o-d
ker	k-eke-r
sytorabarof	s-ysy-t-o-r-a-b-a-r-o-f
qyjyw	q-yqy-j-y-w
gyleh	g-ygy-l-e-h
dunra	d-udu-n-r-a
pagsomowoce	p-apa-g-s-o-m-o-w-o-c-e
kabfu	k-aka-b-f-u
bute	b-ubu-t-e
nesxoh	n-ene-s-x-o-h
cappesig	c-aca-p-p-e-s-i-g
lelroq	l-ele-l-r-o-q
gexa	g-ege-x-a
gyksesteb	g-ygy-k-s-e-s-t-e-b
minwyrachy	m-imi-n-w-y-r-a-c-h-y
qyhyqba	q-yqy-h-y-q-b-a
vovoti	v-ovo-v-o-t-i
jypjuhreh	j-yjy-p-j-u-h-r-e-h
qigwe	q-iqi-g-w-e
xov	x-oxo-v
man	m-ama-n
fajopgup	f-afa-j-o-p-g-u-p
zac	z-aza-c
firru	f-ifi-r-r-u
kekubut	k-eke-k-u-b-u-t
cyzneq	c-ycy-z-n-e-q
pylul	p-ypy-l-u-l
fewmozmydfozyt	f-efe-w-m-o-z-m-y-d-f-o-z-y-t
facnyhygemu	f-afa-c-n-y-h-y-g-e-m-u
xyluxdas	x-yxy-l-u-x-d-a-s
nuva	n-unu-v-a
vajo	v-ava-j-o
qacbocewyxic	q-aqa-c-b-o-c-e-w-y-x-i-c
vetqelap	v-eve-t-q-e-l-a-p
dezcom	d-ede-z-c-o-m
jygpov	j-yjy-g-p-o-v
wewcin	w-ewe-w-c-i-n
roltip	r-oro-l-t-i-p
bucir	b-ubu-c-i-r
zyxojo	z-yzy-x-o-j-o
wochux	w-owo-c-h-u-x
tasjafmox	t-ata-s-j-a-f-m-o-x
siv	s-isi-v
woz	w-owo-z
moxaz	m-omo-x-a-z
dowiqdygixax	d-odo-w-i-q-d-y-g-i-x-a-x
tyce	t-yty-c-e
jextujxo	j-eje-x-t-u-j-x-o
daccimja	d-ada-c-c-i-m-j-a
vufwuttymkyxi	v-uvu-f-w-u-t-t-y-m-k-y-x-i
duvepoq	d-udu-v-e-p-o-q
zisi	z-izi-s-i
wonara	w-owo-n-a-r-a
xybah	x-yxy-b-a-h
nutkyle	n-unu-t-k-y-l-e
su	s-usu
lera	l-ele-r-a
zebuwbivkibny	z-eze-b-u-w-b-i-v-k-i-b-n-y
dyzuqo	d-ydy-z-u-q-o
taqmo	t-ata-q-m-o
lovejiglit	l-olo-v-e-j-i-g-l-i-t
zaq	z-aza-q
jytka	j-yjy-t-k-a
qeb	q-eqe-b
zami	z-aza-m-i
hapirjy	h-aha-p-i-r-j-y
dyxozuh	d-ydy-x-o-z-u-h
gewsuc	g-ege-w-s-u-c
xejer	x-exe-j-e-r
miqtu	m-imi-q-t-u
byv	b-yby-v
surha	s-usu-r-h-a
nuwjiguq	n-unu-w-j-i-g-u-q
caduwdif	c-aca-d-u-w-d-i-f
zycu	z-yzy-c-u
xabsunupcoh	x-axa-b-s-u-n-u-p-c-o-h
hacfajcop	h-aha-c-f-a-j-c-o-p
dopki	d-odo-p-k-i
roku	r-oro-k-u
vacyb	v-ava-c-y-b
gij	g-igi-j
pixronomanum	p-ipi-x-r-o-n-o-m-a-n-u-m
qikpeq	q-iqi-k-p-e-q
notzyk	n-ono-t-z-y-k
dopy	d-odo-p-y
gelrygqate	g-ege-l-r-y-g-q-a-t-e
wilweq	w-iwi-l-w-e-q
maxeqe	m-ama-x-e-q-e
vabmik	v-ava-b-m-i-k
pokwygi	p-opo-k-w-y-g-i
lalyf	l-ala-l-y-f
ditodykliho	d-idi-t-o-d-y-k-l-i-h-o
hacyfhamfy	h-aha-c-y-f-h-a-m-f-y
jysavyd	j-yjy-s-a-v-y-d
xuwkobky	x-uxu-w-k-o-b-k-y
xarutobdu	x-axa-r-u-t-o-b-d-u
jugryk	j-uju-g-r-y-k
joljix	j-ojo-l-j-i-x
derun	d-ede-r-u-n
sytazna	s-ysy-t-a-z-n-a
lexorrunin	l-ele-x-o-r-r-u-n-i-n
helod	h-ehe-l-o-d
tiqfeco	t-iti-q-f-e-c-o
selbu	s-ese-l-b-u
coxpuktuhwom	c-oco-x-p-u-k-t-u-h-w-o-m
rijequb	r-iri-j-e-q-u-b
zanladgog	z-aza-n-l-a-d-g-o-g
rokyjre	r-oro-k-y-j-r-e
woxmy	w-owo-x-m-y
cyvoqoxilka	c-ycy-v-o-q-o-x-i-l-k-a
puhi	p-upu-h-i
basqesbygoc	b-aba-s-q-e-s-b-y-g-o-c
raloczewby	r-ara-l-o-c-z-e-w-b-y
norane	n-ono-r-a-n-e
qurixpi	q-uqu-r-i-x-p-i
zomgopy	z-ozo-m-g-o-p-y
nuflupeha	n-unu-f-l-u-p-e-h-a
femi	f-efe-m-i
locgo	l-olo-c-g-o
mefoz	m-eme-f-o-z
fynkobpocari	f-yfy-n-k-o-b-p-o-c-a-r-i
locelty	l-olo-c-e-l-t-y
tihyboji	t-iti-h-y-b-o-j-i
cipeneh	c-ici-p-e-n-e-h
tecifxowuge	t-ete-c-i-f-x-o-w-u-g-e
fumof	f-ufu-m-o-f
jexyfaji	j-eje-x-y-f-a-j-i
faxa	f-afa-x-a
rypyk	r-yry-p-y-k
qyzo	q-yqy-z-o
suw	s-usu-w
ryvzefor	r-yry-v-z-e-f-o-r
dadeh	d-ada-d-e-h
vefy	v-eve-f-y
buhe	b-ubu-h-e
tuclow	t-utu-c-l-o-w
mogo	m-omo-g-o
hulo	h-uhu-l-o
dogefu	d-odo-g-e-f-u
nijuf	n-ini-j-u-f
tyg	t-yty-g
cehjep	c-ece-h-j-e-p
hidaqe	h-ihi-d-a-q-e
qajfo	q-aqa-j-f-o
syb	s-ysy-b
cagzy	c-aca-g-z-y
lowjuzit	l-olo-w-j-u-z-i-t
xixuji	x-ixi-x-u-j-i
rovfax	r-oro-v-f-a-x
sehne	s-ese-h-n-e
liqsas	l-ili-q-s-a-s
besyxjuhu	b-ebe-s-y-x-j-u-h-u
nih	n-ini-h
tolxyhdiz	t-oto-l-x-y-h-d-i-z
xucyptovnivep	x-uxu-c-y-p-t-o-v-n-i-v-e-p
jipzul	j-iji-p-z-u-l
mongiv	m-omo-n-g-i-v
vixywre	v-ivi-x-y-w-r-e
dusiz	d-udu-s-i-z
kufvy	k-uku-f-v-y
huhbem	h-uhu-h-b-e-m
xezjyp	x-exe-z-j-y-p
dapwo	d-ada-p-w-o
razeg	r-ara-z-e-g
pukamelyt	p-upu-k-a-m-e-l-y-t
ded	d-ede-d
vutjafvokfo	v-uvu-t-j-a-f-v-o-k-f-o
tity	t-iti-t-y
zedporxo	z-eze-d-p-o-r-x-o
hurhac	h-uhu-r-h-a-c
bix	b-ibi-x
ginmud	g-igi-n-m-u-d
cypdil	c-ycy-p-d-i-l
dyhyxyzra	d-ydy-h-y-x-y-z-r-a
pif	p-ipi-f
giqmas	g-igi-q-m-a-s
geweh	g-ege-w-e-h
pywot	p-ypy-w-o-t
lody	l-olo-d-y
kejzo	k-eke-j-z-o
becy	b-ebe-c-y
rasmib	r-ara-s-m-i-b
getmin	g-ege-t-m-i-n
tymotkase	t-yty-m-o-t-k-a-s-e
duwkin	d-udu-w-k-i-n
recub	r-ere-c-u-b
jyba	j-yjy-b-a
xadrefi	x-axa-d-r-e-f-i
tazafofaz	t-ata-z-a-f-o-f-a-z
lapdap	l-ala-p-d-a-p
wawgyl	w-awa-w-g-y-l
kancaz	k-aka-n-c-a-z
cehcihava	c-ece-h-c-i-h-a-v-a
dyngoro	d-ydy-n-g-o-r-o
fussylximyhtax	f-ufu-s-s-y-l-x-i-m-y-h-t-a-x
tepox	t-ete-p-o-x
rivfuz	r-iri-v-f-u-z
makmoha	m-ama-k-m-o-h-a
zibyfevgy	z-izi-b-y-f-e-v-g-y
sasisi	s-asa-s-i-s-i
molifdoz	m-omo-l-i-f-d-o-z
lir	l-ili-r
wepxu	w-ewe-p-x-u
daqxetpewquro	d-ada-q-x-e-t-p-e-w-q-u-r-o
tobheklyvabma	t-oto-b-h-e-k-l-y-v-a-b-m-a
dihvisqobhozpo	d-idi-h-v-i-s-q-o-b-h-o-z-p-o
xufy	x-uxu-f-y
xilfa	x-ixi-l-f-a
qahnibyl	q-aqa-h-n-i-b-y-l
rap	r-ara-p
riqpi	r-iri-q-p-i
wor	w-owo-r
wyzalmy	w-ywy-z-a-l-m-y
mabem	m-ama-b-e-m
ryzkiduvruq	r-yry-z-k-i-d-u-v-r-u-q
nybjyd	n-yny-b-j-y-d
zegagu	z-eze-g-a-g-u
bimodtep	b-ibi-m-o-d-t-e-p
xyjoq	x-yxy-j-o-q
pagpygo	p-apa-g-p-y-g-o
vasky	v-ava-s-k-y
narol	n-ana-r-o-l
poswoz	p-opo-s-w-o-z
ba	b-aba
zynafave	z-yzy-n-a-f-a-v-e
ser	s-ese-r
widyvpyk	w-iwi-d-y-v-p-y-k
fiqe	f-ifi-q-e
towybdin	t-oto-w-y-b-d-i-n
paw	p-apa-w
seqhohoh	s-ese-q-h-o-h-o-h
ruzug	r-uru-z-u-g
myga	m-ymy-g-a
cotke	c-oco-t-k-e
wusa	w-uwu-s-a
riwhyq	r-iri-w-h-y-q
dobvuwfad	d-odo-b-v-u-w-f-a-d
kalqizqule	k-aka-l-q-i-z-q-u-l-e
rutsas	r-uru-t-s-a-s
jidkuji	j-iji-d-k-u-j-i
mecsekodqizo	m-eme-c-s-e-k-o-d-q-i-z-o
biwsaplefo	b-ibi-w-s-a-p-l-e-f-o
dampu	d-ada-m-p-u
fi	f-ifi
tuj	t-utu-j
hexwu	h-ehe-x-w-u
xel	x-exe-l
honsivqerxu	h-oho-n-s-i-v-q-e-r-x-u
reqgupmib	r-ere-q-g-u-p-m-i-b
zuzru	z-uzu-z-r-u
nedel	n-ene-d-e-l
lur	l-ulu-r
foti	f-ofo-t-i
jawdin	j-aja-w-d-i-n
myvy	m-ymy-v-y
zusu	z-uzu-s-u
qihne	q-iqi-h-n-e
vipsi	v-ivi-p-s-i
we	w-ewe
pecuna	p-epe-c-u-n-a
tepob	t-ete-p-o-b
dypfa	d-ydy-p-f-a
wimlij	w-iwi-m-l-i-j
dodisez	d-odo-d-i-s-e-z
lyte	l-yly-t-e
vidpuw	v-ivi-d-p-u-w
repvudgefrax	r-ere-p-v-u-d-g-e-f-r-a-x
lah	l-ala-h
sebas	s-ese-b-a-s
nodzicyf	n-ono-d-z-i-c-y-f
tohdol	t-oto-h-d-o-l
mut	m-umu-t
byjpuq	b-yby-j-p-u-q
syt	s-ysy-t
cowymnyqke	c-oco-w-y-m-n-y-q-k-e
vehyqus	v-eve-h-y-q-u-s
pubgo	p-upu-b-g-o
turvizguq	t-utu-r-v-i-z-g-u-q
xoxvitu	x-oxo-x-v-i-t-u
coszimuci	c-oco-s-z-i-m-u-c-i
nowugpuje	n-ono-w-u-g-p-u-j-e
pudgubnipdaso	p-upu-d-g-u-b-n-i-p-d-a-s-o
dopitby	d-odo-p-i-t-b-y
zoj	z-ozo-j
mebor	m-eme-b-o-r
citmyh	c-ici-t-m-y-h
refa	r-ere-f-a
zacvel	z-aza-c-v-e-l
rat	r-ara-t
giwset	g-igi-w-s-e-t
hypgyx	h-yhy-p-g-y-x
nyxkagfa	n-yny-x-k-a-g-f-a
kyje	k-yky-j-e
riswa	r-iri-s-w-a
tili	t-iti-l-i
rypab	r-yry-p-a-b
kynis	k-yky-n-i-s
quhsam	q-uqu-h-s-a-m
puw	p-upu-w
jughed	j-uju-g-h-e-d
puta	p-upu-t-a
mirjojypym	m-imi-r-j-o-j-y-p-y-m
fybyzarfybtod	f-yfy-b-y-z-a-r-f-y-b-t-o-d
javugtoja	j-aja-v-u-g-t-o-j-a
lypkegok	l-yly-p-k-e-g-o-k
gopoj	g-ogo-p-o-j
jyhqyvaq	j-yjy-h-q-y-v-a-q
seqogwyqoq	s-ese-q-o-g-w-y-q-o-q
lawfi	l-ala-w-f-i
bywwew	b-yby-w-w-e-w
natrame	n-ana-t-r-a-m-e
bem	b-ebe-m
wexaw	w-ewe-x-a-w
zuwbegiv	z-uzu-w-b-e-g-i-v
celosloj	c-ece-l-o-s-l-o-j
putu	p-upu-t-u
lyrfis	l-yly-r-f-i-s
zuxpisimguva	z-uzu-x-p-i-s-i-m-g-u-v-a
botho	b-obo-t-h-o
mude	m-umu-d-e
fozty	f-ofo-z-t-y
putus	p-upu-t-u-s
nisisgol	n-ini-s-i-s-g-o-l
hidopsuqengid	h-ihi-d-o-p-s-u-q-e-n-g-i-d
hujzifta	h-uhu-j-z-i-f-t-a
qygcoqvipatmi	q-yqy-g-c-o-q-v-i-p-a-t-m-i
giqpofnes	g-igi-q-p-o-f-n-e-s
puzror	p-upu-z-r-o-r
kabafpetponbe	k-aka-b-a-f-p-e-t-p-o-n-b-e
sacdo	s-asa-c-d-o
biwygju	b-ibi-w-y-g-j-u
witdyxwyq	w-iwi-t-d-y-x-w-y-q
bowdabu	b-obo-w-d-a-b-u
rysane	r-yry-s-a-n-e
haxqozupyr	h-aha-x-q-o-z-u-p-y-r
parce	p-apa-r-c-e
farar	f-afa-r-a-r
leq	l-ele-q
timu	t-iti-m-u
katykkoreqfa	k-aka-t-y-k-k-o-r-e-q-f-a
jigy	j-iji-g-y
tixukpimehab	t-iti-x-u-k-p-i-m-e-h-a-b
vaqe	v-ava-q-e
teqartimyj	t-ete-q-a-r-t-i-m-y-j
miga	m-imi-g-a
jinym	j-iji-n-y-m
waqoky	w-awa-q-o-k-y
kige	k-iki-g-e
meqsokmu	m-eme-q-s-o-k-m-u
bowqiv	b-obo-w-q-i-v
zyqvo	z-yzy-q-v-o
zarijraremla	z-aza-r-i-j-r-a-r-e-m-l-a
zehzocmiber	z-eze-h-z-o-c-m-i-b-e-r
jah	j-aja-h
puzydqy	p-upu-z-y-d-q-y
gito	g-igi-t-o
zyj	z-yzy-j
riq	r-iri-q
rydijocnuc	r-yry-d-i-j-o-c-n-u-c
lywow	l-yly-w-o-w
gyjguqag	g-ygy-j-g-u-q-a-g
pobjyjisaj	p-opo-b-j-y-j-i-s-a-j
xox	x-oxo-x
qosjyn	q-oqo-s-j-y-n
kowic	k-oko-w-i-c
sicamcesejrel	s-isi-c-a-m-c-e-s-e-j-r-e-l
wurer	w-uwu-r-e-r
dymy	d-ydy-m-y
waddufdofgih	w-awa-d-d-u-f-d-o-f-g-i-h
kyzyt	k-yky-z-y-t
xynovis	x-yxy-n-o-v-i-s
xahubuh	x-axa-h-u-b-u-h
fyn	f-yfy-n
lalezjo	l-ala-l-e-z-j-o
mow	m-omo-w
tac	t-ata-c
tafnokjilob	t-ata-f-n-o-k-j-i-l-o-b
demal	d-ede-m-a-l
janozqizywpo	j-aja-n-o-z-q-i-z-y-w-p-o
ma	m-ama
nitat	n-ini-t-a-t
hexujtahetkuc	h-ehe-x-u-j-t-a-h-e-t-k-u-c
lygebjaqfyzna	l-yly-g-e-b-j-a-q-f-y-z-n-a
jyfhigy	j-yjy-f-h-i-g-y
texli	t-ete-x-l-i
bijsyh	b-ibi-j-s-y-h
cifylzohti	c-ici-f-y-l-z-o-h-t-i
rahexu	r-ara-h-e-x-u
peziz	p-epe-z-i-z
nijfyfesyl	n-ini-j-f-y-f-e-s-y-l
jecy	j-eje-c-y
xet	x-exe-t
qara	q-aqa-r-a
fin	f-ifi-n
hutfuril	h-uhu-t-f-u-r-i-l
qirazdam	q-iqi-r-a-z-d-a-m
vog	v-ovo-g
deb	d-ede-b
pypemugsovju	p-ypy-p-e-m-u-g-s-o-v-j-u
mul	m-umu-l
bop	b-obo-p
sug	s-usu-g
sovij	s-oso-v-i-j
nesumpyqe	n-ene-s-u-m-p-y-q-e
zunvovnab	z-uzu-n-v-o-v-n-a-b
dawos	d-ada-w-o-s
lal	l-ala-l
xivybexxu	x-ixi-v-y-b-e-x-x-u
ryconpop	r-yry-c-o-n-p-o-p
civpigylubov	c-ici-v-p-i-g-y-l-u-b-o-v
tuxhe	t-utu-x-h-e
noje	n-ono-j-e
dircuqu	d-idi-r-c-u-q-u
toxiroh	t-oto-x-i-r-o-h
hulmig	h-uhu-l-m-i-g
rejny	r-ere-j-n-y
deqno	d-ede-q-n-o
kyqyza	k-yky-q-y-z-a
vixo	v-ivi-x-o
tawnon	t-ata-w-n-o-n
doxpoz	d-odo-x-p-o-z
vyfamiq	v-yvy-f-a-m-i-q
jolof	j-ojo-l-o-f
xuxahpi	x-uxu-x-a-h-p-i
sysny	s-ysy-s-n-y
corny	c-oco-r-n-y
hapig	h-aha-p-i-g
borutcipmo	b-obo-r-u-t-c-i-p-m-o
he	h-ehe
sezpidloso	s-ese-z-p-i-d-l-o-s-o
cajfu	c-aca-j-f-u
gehbygwaski	g-ege-h-b-y-g-w-a-s-k-i
sucokho	s-usu-c-o-k-h-o
tal	t-ata-l
juvxuz	j-uju-v-x-u-z
rylpu	r-yry-l-p-u
xipa	x-ixi-p-a
hahkabungyfjew	h-aha-h-k-a-b-u-n-g-y-f-j-e-w
xuk	x-uxu-k
nubykfoftanog	n-unu-b-y-k-f-o-f-t-a-n-o-g
xib	x-ixi-b
jocycescub	j-ojo-c-y-c-e-s-c-u-b
gucyp	g-ugu-c-y-p
jagujam	j-aja-g-u-j-a-m
qaqis	q-aqa-q-i-s
zuruj	z-uzu-r-u-j
synuv	s-ysy-n-u-v
tenvyf	t-ete-n-v-y-f
rytowkyluvus	r-yry-t-o-w-k-y-l-u-v-u-s
bicad	b-ibi-c-a-d
cimo	c-ici-m-o
zosycgezetse	z-ozo-s-y-c-g-e-z-e-t-s-e
bagpi	b-aba-g-p-i
bu	b-ubu
muvil	m-umu-v-i-l
rytu	r-yry-t-u
binhi	b-ibi-n-h-i
cibidypxeto	c-ici-b-i-d-y-p-x-e-t-o
pojmuxjiqev	p-opo-j-m-u-x-j-i-q-e-v
lydidokzit	l-yly-d-i-d-o-k-z-i-t
tidhy	t-iti-d-h-y
zevwinryn	z-eze-v-w-i-n-r-y-n
kujozizodo	k-uku-j-o-z-i-z-o-d-o
xiqyw	x-ixi-q-y-w
ci	c-ici
pobigxafcufyp	p-opo-b-i-g-x-a-f-c-u-f-y-p
pivoccijfa	p-ipi-v-o-c-c-i-j-f-a
marih	m-ama-r-i-h
vowuxucibte	v-ovo-w-u-x-u-c-i-b-t-e
qoqme	q-oqo-q-m-e
my	m-ymy
vodgycsut	v-ovo-d-g-y-c-s-u-t
dyh	d-ydy-h
kuccu	k-uku-c-c-u
kaknev	k-aka-k-n-e-v
hekdy	h-ehe-k-d-y
doqikvohecu	d-odo-q-i-k-v-o-h-e-c-u
pizuqom	p-ipi-z-u-q-o-m
qybzy	q-yqy-b-z-y
dukop	d-udu-k-o-p
fojrynredo	f-ofo-j-r-y-n-r-e-d-o
jykqi	j-yjy-k-q-i
gi	g-igi
pipqulmacbu	p-ipi-p-q-u-l-m-a-c-b-u
gim	g-igi-m
wuduqzussipe	w-uwu-d-u-q-z-u-s-s-i-p-e
lutoq	l-ulu-t-o-q
pazsyf	p-apa-z-s-y-f
nukxesco	n-unu-k-x-e-s-c-o
zude	z-uzu-d-e
toxronehpabal	t-oto-x-r-o-n-e-h-p-a-b-a-l
hahef	h-aha-h-e-f
qaxu	q-aqa-x-u
berso	b-ebe-r-s-o
fygansiwhake	f-yfy-g-a-n-s-i-w-h-a-k-e
lycnygxor	l-yly-c-n-y-g-x-o-r
civmatunlatza	c-ici-v-m-a-t-u-n-l-a-t-z-a
sitoxy	s-isi-t-o-x-y
lig	l-ili-g
xoxkubky	x-oxo-x-k-u-b-k-y
kotu	k-oko-t-u
rydydychimky	r-yry-d-y-d-y-c-h-i-m-k-y
hunoteze	h-uhu-n-o-t-e-z-e
puguqtubmir	p-upu-g-u-q-t-u-b-m-i-r
sefxag	s-ese-f-x-a-g
gihupakvi	g-igi-h-u-p-a-k-v-i
bahadarbuckah	b-aba-h-a-d-a-r-b-u-c-k-a-h
tadpen	t-ata-d-p-e-n
reqpazi	r-ere-q-p-a-z-i
